file,key,claim_name,claim_year,pmid,verdict,claim_nct,pubmed_registered_ncts,match,pubmed_title,pubmed_year,candidate_pmids,candidate_titles,best_match_pmid,best_match_title,best_match_year
AFLIBERCEPT_HD_REVIEW.html,NCT04964089,PULSAR,2024,38461841,NCT_MISMATCH,NCT04964089,NCT04423718,NO,Intravitreal aflibercept 8 mg in neovascular age-related macular degeneration (PULSAR): 48-week resu,2024,,,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT04964089,PULSAR,2024,38461841,NCT_MISMATCH,NCT04964089,NCT04423718,NO,Intravitreal aflibercept 8 mg in neovascular age-related macular degeneration (PULSAR): 48-week resu,2024,,,,,
ATTR_PN_NMA_REVIEW.html,NCT03759379,HELIOS-A,2022,35822484,PMID_NOT_FOUND,NCT03759379,,,,,"38512694,37523143,35875890",38512694:Impact of Baseline Neuropathy Severity o | 37523143:Impact of Vutrisiran on Quality of Life  | 35875890:Efficacy and safety of vutrisiran for pa,37523143,Impact of Vutrisiran on Quality of Life and Physical Function in Patients with Hereditary Transthyre,2023
BPAL_MDRTB_REVIEW.html,NCT02589782,TB-PRACTECAL,2022,36546626,NCT_MISMATCH,NCT02589782,NCT03538899,NO,Lentiviral Gene Therapy for Artemis-Deficient SCID.,2022,"38842323,37980911,36546625,35698158","38842323:How much should we still worry about QTc | 37980911:Short oral regimens for pulmonary rifamp | 36546625:A 24-Week, All-Oral Regimen for Rifampin | 35698158:TB-PRACTECAL: study protocol for a rando",36546625,"A 24-Week, All-Oral Regimen for Rifampin-Resistant Tuberculosis.",2022
BPAL_MDRTB_REVIEW.html,NCT02754765,endTB-MDR,2024,39413375,NCT_MISMATCH,NCT02754765,NCT03907488,NO,Nivolumab+AVD in Advanced-Stage Classic Hodgkin's Lymphoma.,2024,"39879593,35028659,34563240,31676905","39879593:Oral Regimens for Rifampin-Resistant, Fl | 35028659:Safety of Treatment Regimens Containing  | 34563240:Evaluating newly approved drugs for mult | 31676905:Culture Conversion at 6 Months in Patien",39879593,"Oral Regimens for Rifampin-Resistant, Fluoroquinolone-Susceptible Tuberculosis.",2025
BTKI_CLL_NMA_REVIEW.html,NCT02477696,ELEVATE-RR,2021,32305093,NCT_MISMATCH,NCT02477696,NCT02475681,NO,Acalabrutinib with or without obinutuzumab versus chlorambucil and obinutuzmab for treatment-naive c,2020,"40485230,39563886,38754046,37390310,34398557",40485230:How well does acalabrutinib work and how | 39563886:Advancements in B-Cell Non-Hodgkin's Lym | 38754046:Mutational profile in previously treated | 37390310:Detailed safety profile of acalabrutinib | 34398557:Mining the Microenvironment for Therapeu,34398557,Mining the Microenvironment for Therapeutic Targets in Chronic Lymphocytic Leukemia.,2021
BTKI_CLL_NMA_REVIEW.html,NCT01722487,RESONATE-2,2015,24881631,NCT_MISMATCH,NCT01722487,NCT01578707,NO,Ibrutinib versus ofatumumab in previously treated chronic lymphoid leukemia.,2014,"40266025,36617990,35377947,35014928,34865212",40266025:Statin use and survival in CLL/SLL treat | 36617990:Many People With Chronic Lymphocytic Leu | 35377947:Up to 8-year follow-up from RESONATE-2:  | 35014928:Up to 6.5 years (median 4 years) of foll | 34865212:Long-term efficacy of first-line ibrutin,35377947,Up to 8-year follow-up from RESONATE-2: first-line ibrutinib treatment for patients with chronic lym,2022
BTKI_CLL_NMA_REVIEW.html,NCT01578707,RESONATE,2014,23782158,NCT_MISMATCH,NCT01578707,NCT01105247,NO,Targeting BTK with ibrutinib in relapsed chronic lymphocytic leukemia.,2013,"40266025,31512258,31196847,30842083,29470582",40266025:Statin use and survival in CLL/SLL treat | 31512258:Final analysis from RESONATE: Up to six  | 31196847:Long-term safety of single-agent ibrutin | 30842083:Long-term follow-up of the RESONATE phas | 29470582:Prognostic Factors for Complete Response,29470582,Prognostic Factors for Complete Response to Ibrutinib in Patients With Chronic Lymphocytic Leukemia:,2018
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02951052,ATLAS,2020,32130806,NCT_MISMATCH,NCT02951052,NCT02938520,NO,Long-Acting Cabotegravir and Rilpivirine after Oral Induction for HIV-1 Infection.,2020,"39052748,37776478,37452174,35508986,33136751","39052748:Efficacy, Safety, and Pharmacokinetics b | 37776478:Psychometric Validation of the Perceptio | 37452174:Cabotegravir and Rilpivirine Long-Acting | 35508986:Indirect comparison of 48-week efficacy  | 33136751:Long-Acting Injectable Cabotegravir + Ri",33136751,Long-Acting Injectable Cabotegravir + Rilpivirine for HIV Maintenance Therapy: Week 48 Pooled Analys,2020
FENFLURAMINE_SEIZURE_REVIEW.html,NCT02926898,Study 2 (Dravet+stiripentol),2020,31862249,NCT_MISMATCH,NCT02926898,"NCT02682927,NCT02826863",NO,"Fenfluramine hydrochloride for the treatment of seizures in Dravet syndrome: a randomised, double-bl",2019,"34768178,33540241,31790543",34768178:Impact of fenfluramine on the expected S | 33540241:Fenfluramine responder analyses and numb | 31790543:Fenfluramine for Treatment-Resistant Sei,31790543,Fenfluramine for Treatment-Resistant Seizures in Patients With Dravet Syndrome Receiving Stiripentol,2020
GLP1_MASH_NMA_REVIEW.html,NCT04822181,ESSENCE,2024,39282897,NCT_MISMATCH,NCT04822181,NCT01844505,NO,"Final, 10-Year Outcomes with Nivolumab plus Ipilimumab in Advanced Melanoma.",2025,"40305708,39412509,36738088",40305708:Phase 3 Trial of Semaglutide in Metaboli | 39412509:Semaglutide 2.4 mg in Participants With  | 36738088:Hepatic steatosis provides the terroir t,39412509,Semaglutide 2.4 mg in Participants With Metabolic Dysfunction-Associated Steatohepatitis: Baseline C,2024
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02201940,ASTRAL-1,2015,26551272,NCT_MISMATCH,NCT02201940,NCT01206062,NO,A Randomized Trial of Intensive versus Standard Blood-Pressure Control.,2015,"36740893,27847279,26571066",36740893:The tolerability of sofosbuvir/velpatasv | 27847279:Sofosbuvir and Velpatasvir Combination I | 26571066:Sofosbuvir and Velpatasvir for HCV Genot,26571066,"Sofosbuvir and Velpatasvir for HCV Genotype 1, 2, 4, 5, and 6 Infection.",2015
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02201953,ASTRAL-3,2015,26571066,NCT_MISMATCH,NCT02201953,NCT02201940,NO,"Sofosbuvir and Velpatasvir for HCV Genotype 1, 2, 4, 5, and 6 Infection.",2015,"36740893,27847279,26575258",36740893:The tolerability of sofosbuvir/velpatasv | 27847279:Sofosbuvir and Velpatasvir Combination I | 26575258:Sofosbuvir and Velpatasvir for HCV Genot,26575258,Sofosbuvir and Velpatasvir for HCV Genotype 2 and 3 Infection.,2015
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02876835,ASCEND-ND,2021,34739194,NCT_MISMATCH,NCT02876835,NCT02879305,NO,Daprodustat for the Treatment of Anemia in Patients Undergoing Dialysis.,2021,"38383961,36565721,36005278,34865143,34739196",38383961:Daprodustat and Heart Failure in CKD. | 36565721:Analysis of on-treatment cancer safety e | 36005278:Hypoxia-inducible factor stabilisers for | 34865143:The ASCEND-ND trial: study design and pa | 34739196:Daprodustat for the Treatment of Anemia ,34739196,Daprodustat for the Treatment of Anemia in Patients Not Undergoing Dialysis.,2021
HIV_ART_FIRSTLINE_NMA_REVIEW.html,NCT03122262,ADVANCE DTG/TAF,2019,31314967,NCT_MISMATCH,NCT03122262,NCT01965470,NO,"Universal Testing, Expanded Treatment, and Incidence of HIV Infection in Botswana.",2019,"38978403,37098852,33625064,33262331,33010240",38978403:Blood pressure increases are associated  | 37098852:Pharmacogenetics of tenofovir clearance  | 33625064:Genetic Associations with Weight Gain am | 33262331:Reduced efficacy of HIV-1 integrase inhi | 33010240:Dolutegravir with emtricitabine and teno,33262331,Reduced efficacy of HIV-1 integrase inhibitors in patients with drug resistance mutations in reverse,2020
HIV_ART_FIRSTLINE_NMA_REVIEW.html,NCT03122262_TDF,ADVANCE DTG/TDF,2019,31314967,NCT_MISMATCH,NCT03122262,NCT01965470,NO,"Universal Testing, Expanded Treatment, and Incidence of HIV Infection in Botswana.",2019,"38978403,37098852,33625064,33262331,33010240",38978403:Blood pressure increases are associated  | 37098852:Pharmacogenetics of tenofovir clearance  | 33625064:Genetic Associations with Weight Gain am | 33262331:Reduced efficacy of HIV-1 integrase inhi | 33010240:Dolutegravir with emtricitabine and teno,33262331,Reduced efficacy of HIV-1 integrase inhibitors in patients with drug resistance mutations in reverse,2020
HIV_TB_COINFECTION_ART_TIMING_NMA_REVIEW.html,NCT00226434,CAMELIA (Blanc 2011),2011,22010913,NCT_MISMATCH,NCT00226434,NCT01300481,NO,Earlier versus later start of antiretroviral therapy in HIV-infected adults with tuberculosis.,2011,"24759827,24096631",24759827:Causes and determinants of mortality in  | 24096631:Paradoxical tuberculosis-associated immu,24096631,Paradoxical tuberculosis-associated immune reconstitution inflammatory syndrome after early initiati,2013
INTENSIVE_BP_REVIEW.html,NCT00059306,SPS3-BP,2013,24168957,NCT_MISMATCH,NCT00059306,NCT00576693,NO,Aggressive medical treatment with or without stenting in high-risk patients with intracranial artery,2014,"38214239,36876480,36398903,35224730,35114798",38214239:The impact of pre-stroke aspirin exposur | 36876480:Change in Smoking Behavior and Outcome A | 36398903:Blood pressure targets for the treatment | 35224730:Antiplatelet agents for chronic kidney d | 35114798:Influence of Baseline Diastolic Blood Pr,36398903,Blood pressure targets for the treatment of people with hypertension and cardiovascular disease.,2022
JAK_RA_REVIEW.html,NCT02889796,FINCH-1,2021,31334793,NCT_MISMATCH,NCT02889796,NCT02873936,NO,Effect of Filgotinib vs Placebo on Clinical Response in Patients With Moderate to Severe Rheumatoid ,2019,"39592547,39331638,38985247,38057656,37747626",39592547:The Uncoupling of Disease Activity from  | 39331638:Efficacy and safety of filgotinib in pat | 38985247:Patients with High Baseline Neutrophil-t | 38057656:Filgotinib Demonstrates Efficacy in Rheu | 37747626:Effect of Filgotinib on Body Mass Index ,37747626,Effect of Filgotinib on Body Mass Index (BMI) and Effect of Baseline BMI on the Efficacy and Safety ,2023
JAKI_RA_NMA_REVIEW.html,NCT02889796,FINCH-1,2021,31334793,NCT_MISMATCH,NCT02889796,NCT02873936,NO,Effect of Filgotinib vs Placebo on Clinical Response in Patients With Moderate to Severe Rheumatoid ,2019,"39592547,39331638,38985247,38057656,37747626",39592547:The Uncoupling of Disease Activity from  | 39331638:Efficacy and safety of filgotinib in pat | 38985247:Patients with High Baseline Neutrophil-t | 38057656:Filgotinib Demonstrates Efficacy in Rheu | 37747626:Effect of Filgotinib on Body Mass Index ,37747626,Effect of Filgotinib on Body Mass Index (BMI) and Effect of Baseline BMI on the Efficacy and Safety ,2023
MDR_TB_SHORTENED_NMA_REVIEW.html,NCT02589782,TB-PRACTECAL (BPaLM vs SOC),2022,36577095,NCT_MISMATCH,NCT02589782,NCT05341609,NO,VV116 versus Nirmatrelvir-Ritonavir for Oral Treatment of Covid-19.,2023,"38842323,37980911,36546625,35698158","38842323:How much should we still worry about QTc | 37980911:Short oral regimens for pulmonary rifamp | 36546625:A 24-Week, All-Oral Regimen for Rifampin | 35698158:TB-PRACTECAL: study protocol for a rando",36546625,"A 24-Week, All-Oral Regimen for Rifampin-Resistant Tuberculosis.",2022
PCSK9_LIPID_NMA_REVIEW.html,NCT00202878,IMPROVE-IT,2015,28845751,NCT_MISMATCH,NCT00202878,NCT01327846,NO,Antiinflammatory Therapy with Canakinumab for Atherosclerotic Disease.,2017,"41271821,38018702,36260325,35112882,34620406",41271821:Improving polygenic risk score based dru | 38018702:HMG CoA reductase inhibitors (statins) f | 36260325:Association of Serial High-Sensitivity C | 35112882:Cardiovascular Events and Long-Term Risk | 34620406:Baseline Low-Density Lipoprotein Cholest,34620406,Baseline Low-Density Lipoprotein Cholesterol and Clinical Outcomes of Combining Ezetimibe With Stati,2021
PI3K_AKT_BC_REVIEW.html,NCT04191499,INAVO120,2024,39413375,NCT_MISMATCH,NCT04191499,NCT03907488,NO,Nivolumab+AVD in Advanced-Stage Classic Hodgkin's Lymphoma.,2024,"40454641,39476340",40454641:Overall Survival with Inavolisib in PIK3 | 39476340:Inavolisib-Based Therapy in PIK3CA-Mutat,39476340,Inavolisib-Based Therapy in PIK3CA-Mutated Advanced Breast Cancer.,2024
SPARSENTAN_IGAN_REVIEW.html,NCT03762850,PROTECT,2023,37182529,NCT_MISMATCH,NCT03762850,NCT02651883,NO,Effect of HPV self-collection kits on cervical cancer screening uptake among under-screened women fr,2023,"41428405,38299639,37931634,37254256,37015244",41428405:Association between Complete Proteinuria | 38299639:Non-immunosuppressive treatment for IgA  | 37931634:Efficacy and safety of sparsentan versus | 37254256:Emerging Therapies and Advances in Sickl | 37015244:Sparsentan in patients with IgA nephropa,37931634,Efficacy and safety of sparsentan versus irbesartan in patients with IgA nephropathy (PROTECT): 2-ye,2023
SPONDYLOARTHRITIS_NMA_REVIEW.html,NCT02696785,MEASURE 4,2018,29152639,PMID_NOT_FOUND,NCT02696785,,,,,"41417207,40694276,39983751,39509838,39004432","41417207:Does HLA-B27 Status Influence Ixekizumab | 40694276:Ixekizumab Improves Signs, Symptoms, and | 39983751:The effect of ixekizumab treatment on MR | 39509838:Improvement in spinal pain at night and  | 39004432:Early clinical response associates with ",39509838,Improvement in spinal pain at night and its impact on long-term outcomes in radiographic axial spond,2024
SPONDYLOARTHRITIS_NMA_REVIEW.html,NCT03928704,BE MOBILE 1,2023,37541748,NCT_MISMATCH,NCT03928704,NCT04716270,NO,Routine use of a 3D mapping system in the ablation of supraventricular arrhythmias with as low as re,2023,"41807031,41314667,40194794,39406403,39133438","41807031:Bimekizumab longer-term safety profile i | 41314667:Sustained improvements in spinal pain, m | 40194794:Long-term safety of bimekizumab in adult | 39406403:Improved Pain, Morning Stiffness, and Fa | 39133438:The Functional Assessment of Chronic Ill",39133438,The Functional Assessment of Chronic Illness Therapy-Fatigue (FACIT-Fatigue) scale in patients with ,2024
SPONDYLOARTHRITIS_NMA_REVIEW.html,NCT03928743,BE MOBILE 2,2023,37541748,NCT_MISMATCH,NCT03928743,NCT04716270,NO,Routine use of a 3D mapping system in the ablation of supraventricular arrhythmias with as low as re,2023,"41807031,41314667,40194794,39406403,39133438","41807031:Bimekizumab longer-term safety profile i | 41314667:Sustained improvements in spinal pain, m | 40194794:Long-term safety of bimekizumab in adult | 39406403:Improved Pain, Morning Stiffness, and Fa | 39133438:The Functional Assessment of Chronic Ill",39133438,The Functional Assessment of Chronic Illness Therapy-Fatigue (FACIT-Fatigue) scale in patients with ,2024
TYVAC_TYPHOID_REVIEW.html,NCT03299426,TyVAC Malawi,2021,34525286,NCT_MISMATCH,NCT03299426,NCT02809443,NO,Safety and Immunogenicity of an Anti-Zika Virus DNA Vaccine.,2021,"38281499,35961356,34525285,30845320",38281499:Efficacy of typhoid conjugate vaccine: f | 35961356:Safety and immunogenicity of a typhoid c | 34525285:Safety and Efficacy of a Typhoid Conjuga | 30845320:Typhoid Vaccine Acceleration Consortium ,34525285,Safety and Efficacy of a Typhoid Conjugate Vaccine in Malawian Children.,2021
UC_BIOLOGICS_NMA_REVIEW.html,NCT00488774,PURSUIT-SC,2014,23735746,NCT_MISMATCH,NCT00488774,NCT00487539,NO,Subcutaneous golimumab induces clinical response and remission in patients with moderate-to-severe u,2014,"31982148,26119226",31982148:Population Pharmacokinetics and Exposure | 26119226:Randomised clinical trial: a placebo-con,26119226,Randomised clinical trial: a placebo-controlled study of intravenous golimumab induction therapy for,2015
VENETOCLAX_CLL_REVIEW.html,NCT02950051,CLL13/GAIA,2023,37069088,PMID_NOT_FOUND,NCT02950051,,,,,"41911073,38821083,38620092,37172204,37163621",41911073:Venetoclax combinations in untreated CLL | 38821083:First-line venetoclax combinations versu | 38620092:Reassessing the chronic lymphocytic leuk | 37172204:High karyotypic complexity is an indepen | 37163621:First-Line Venetoclax Combinations in Ch,37172204,High karyotypic complexity is an independent prognostic factor in patients with CLL treated with ven,2023
ZURANOLONE_PPD_REVIEW.html,NCT02978326,ROBIN,2021,34464547,NCT_MISMATCH,NCT02978326,NCT01752218,NO,Lasting Effects: Seven Year Results of the Castrop Nomogram for Femtosecond Laser-Assisted Paired Co,2022,"36724109,34190962",36724109:Effect of Zuranolone on Concurrent Anxie | 34190962:Effect of Zuranolone vs Placebo in Postp,34190962,Effect of Zuranolone vs Placebo in Postpartum Depression: A Randomized Clinical Trial.,2021
