Section,Item,Checklist Item,Reported
Title,1,Identify the report as a systematic review incorporating a meta-analysis,Yes - Title
Eligibility,6,Specify the inclusion and exclusion criteria for the review,Yes - Protocol tab
Information sources,7,Describe all information sources searched,Yes - CT.gov + PubMed + OpenAlex
Search strategy,8,Present full search strategies for all databases,Yes - Automated search
Selection process,9,State the process for selecting studies,Yes - Screening tab
Data collection,10,Describe method of data collection from reports,Yes - CT.gov records plus PubMed/OpenAlex abstracts with evidence panels
Study risk of bias,11,Describe methods used to assess risk of bias,Yes - RoB 2.0 (5 domains)
Effect measures,12,Specify for each outcome the effect measure used,"Yes - Primary analysis: Hazard Ratio when available, otherwise Risk Ratio; Odds Ratio sensitivity only"
Synthesis methods,13a,Describe processes to decide eligibility for synthesis,Yes - Inclusion/exclusion screening
Synthesis methods,13b,Describe methods to prepare data for synthesis,Yes - 2x2 table extraction + cc=0.5
Synthesis methods,13c,Describe methods to tabulate or visually display results,Yes - Forest + 15 other plots
Synthesis methods,13d,Describe methods used to synthesize results,Yes - DL RE + Bayesian + HKSJ
Synthesis methods,13e,Describe methods to explore heterogeneity,Yes - I2 + tau2 + Q + PI + meta-regression
Synthesis methods,13f,Describe any sensitivity analyses,Yes - LOO + Trim-Fill + Copas + Fragility
Reporting biases,14,Describe methods to assess risk of bias due to missing results,Yes - Egger + Funnel + Trim-Fill + Copas
Certainty assessment,15,Describe methods to assess certainty in body of evidence,Yes - GRADE + Bayesian P(RR<1)
Study selection,16a,Describe results of search and selection process,Yes - PRISMA flow diagram
Study characteristics,18,Cite each included study and present characteristics,Yes - Demographics table
Risk of bias,19,Present assessments of risk of bias,Yes - Traffic lights + stacked bar
Results of syntheses,20a,Present results for each synthesis,Yes - Forest + summary stats
Results of syntheses,20b,Present results of all statistical syntheses,Yes - SoF table + guardian + benchmark
Reporting biases,21,Present assessments of risk of bias due to missing results,Yes - Egger p=--
Certainty of evidence,22,Present assessments of certainty,Yes - GRADE assessment
Discussion,23a,Provide general interpretation in context,Yes - NYT narrative
Discussion,23b,Discuss limitations of evidence,Yes - GRADE domains
Registration,24,Provide registration information,Retrospective public protocol pack prepared on 2026-03-10 (not prospectively registered)
Support,25,Describe sources of support,N/A
Competing interests,26,Declare competing interests,N/A